,original_title,title,id,genre_ids,release_date,popularity,vote_average,vote_count,original_language,adult
155,Leroy & Stitch,Leroy & Stitch,21316,"[16, 35, 10751, 10770]",2006-06-23,84.09,6.6,511,en,False
156,Toy Story 3,Toy Story 3,10193,"[16, 10751, 35]",2010-06-16,83.998,7.8,14554,en,False
157,Thor: The Dark World,Thor: The Dark World,76338,"[28, 12, 14]",2013-10-30,83.641,6.524,17138,en,False
158,The Princess Diaries,The Princess Diaries,9880,"[35, 10751, 10749]",2001-08-03,83.565,6.956,4879,en,False
159,The Twilight Saga: New Moon,The Twilight Saga: New Moon,18239,"[12, 14, 18, 10749]",2009-11-18,83.012,6.0,9090,en,False
160,War for the Planet of the Apes,War for the Planet of the Apes,281338,"[18, 878, 10752]",2017-07-11,82.306,7.206,8910,en,False
161,Alice Through the Looking Glass,Alice Through the Looking Glass,241259,"[12, 10751, 14]",2016-05-25,82.27,6.6,6361,en,False
162,Black Panther,Black Panther,284054,"[28, 12, 878]",2018-02-13,81.516,7.383,22037,en,False
163,Predator 2,Predator 2,169,"[878, 28, 53]",1990-11-21,81.497,6.279,3254,en,False
164,Fantastic Four: Rise of the Silver Surfer,Fantastic Four: Rise of the Silver Surfer,1979,"[878, 12, 28]",2007-06-13,80.836,5.607,7753,en,False
165,Lilo & Stitch,Lilo & Stitch,11544,"[16, 10751, 35]",2002-06-21,80.818,7.525,6135,en,False
166,The Twilight Saga: Breaking Dawn - Part 1,The Twilight Saga: Breaking Dawn - Part 1,50619,"[12, 14, 10749]",2011-11-16,80.758,6.2,8680,en,False
167,Home Alone 2: Lost in New York,Home Alone 2: Lost in New York,772,"[35, 10751, 12]",1992-11-15,80.435,6.745,9470,en,False
168,Disenchanted,Disenchanted,338958,"[35, 10751, 14]",2022-11-18,80.105,6.7,1069,en,False
169,The Sorcerer's Apprentice,The Sorcerer's Apprentice,27022,"[14, 12, 28]",2010-07-13,79.395,6.12,4884,en,False
170,"Miraculous World : New York, les héros unis","Miraculous World: New York, United HeroeZ",755812,"[16, 10770, 14, 28]",2020-09-25,78.54,8.1,1084,fr,False
171,Thor,Thor,10195,"[12, 14, 28]",2011-04-21,78.406,6.8,20981,en,False
172,Unfaithful,Unfaithful,2251,"[53, 18]",2002-05-10,78.23,6.7,1511,en,False
173,Marvel One-Shot: Agent Carter,Marvel One-Shot: Agent Carter,211387,"[28, 12, 878, 14]",2013-09-03,78.189,7.251,762,en,False
174,Luca,Luca,508943,"[16, 35, 14, 12, 10751]",2021-06-17,77.961,7.82,8256,en,False
175,The Chronicles of Narnia: Prince Caspian,The Chronicles of Narnia: Prince Caspian,2454,"[12, 10751, 14]",2008-05-15,77.692,6.622,6296,en,False
176,Tinker Bell and the Lost Treasure,Tinker Bell and the Lost Treasure,25475,"[16, 10751, 12, 14]",2009-09-03,77.546,6.8,979,en,False
177,Beauty and the Beast,Beauty and the Beast,321612,"[10751, 14, 10749]",2017-03-16,77.111,6.97,15355,en,False
178,Independence Day,Independence Day,602,"[28, 12, 878]",1996-06-25,77.037,6.9,9474,en,False
179,The Haunted Mansion,The Haunted Mansion,10756,"[53, 14, 35, 10751, 9648]",2003-11-26,76.857,5.668,1998,en,False
180,Big Trouble in Little China,Big Trouble in Little China,6978,"[28, 35, 14]",1986-05-30,76.528,7.211,2962,en,False
181,Edward Scissorhands,Edward Scissorhands,162,"[14, 18, 10749]",1990-12-07,76.348,7.719,12772,en,False
182,The Hunchback of Notre Dame,The Hunchback of Notre Dame,10545,"[18, 16, 10751]",1996-06-21,76.335,7.115,4939,en,False
