,original_title,title,id,genre_ids,release_date,popularity,vote_average,vote_count,original_language,adult
254,The Man from U.N.C.L.E.,The Man from U.N.C.L.E.,203801,"[35, 28, 12]",2015-08-13,39.605,7.093,6273,en,False
255,We Can Be Heroes,We Can Be Heroes,615677,"[10751, 28, 14, 35]",2020-12-25,74.413,6.0,762,en,False
256,The Twilight Saga: New Moon,The Twilight Saga: New Moon,18239,"[12, 14, 18, 10749]",2009-11-18,62.895,6.0,9091,en,False
257,அஞ்சான்,Anjaan,278258,"[28, 53, 80]",2014-08-15,59.651,5.7,42,ta,False
258,Jack Reacher: Never Go Back,Jack Reacher: Never Go Back,343611,"[28, 53]",2016-10-19,51.123,6.0,4821,en,False
259,Matilda,Matilda,10830,"[35, 10751, 14]",1996-08-02,71.365,7.164,4378,en,False
260,How to Train Your Dragon 2,How to Train Your Dragon 2,82702,"[14, 28, 12, 16, 35, 10751]",2014-06-05,65.585,7.7,9475,en,False
261,About Time,About Time,122906,"[18, 10749, 14]",2013-09-04,65.212,7.922,8411,en,False
262,The Book of Eli,The Book of Eli,20504,"[28, 53, 878]",2010-01-14,65.104,6.791,6017,en,False
263,Escape Plan,Escape Plan,107846,"[28, 53]",2013-10-09,65.033,6.723,5093,en,False
264,दंगे,Dange,1236671,"[28, 18, 53]",2024-03-01,64.943,5.7,3,hi,False
265,Gifted,Gifted,400928,"[18, 35]",2017-04-07,64.915,8.036,5413,en,False
266,Ferdinand,Ferdinand,364689,"[16, 10751, 12, 35]",2017-12-09,64.665,7.2,2816,en,False
267,The Mummy Returns,The Mummy Returns,1734,"[12, 28, 14]",2001-05-04,64.642,6.4,6958,en,False
268,Predestination,Predestination,206487,"[878, 53]",2014-08-28,64.528,7.4,6353,en,False
269,Wonder Woman 1984,Wonder Woman 1984,464052,"[28, 12, 14]",2020-12-16,63.924,6.432,8362,en,False
270,To All the Boys I've Loved Before,To All the Boys I've Loved Before,466282,"[35, 10749]",2018-08-16,63.901,7.616,8308,en,False
271,Alvin and the Chipmunks,Alvin and the Chipmunks,6477,"[35, 10751, 14, 16]",2007-12-13,63.729,5.8,4394,en,False
272,A Family Affair,A Family Affair,987686,"[10749, 35]",2024-06-27,63.657,5.84,507,en,False
273,Elvis,Elvis,614934,"[18, 10402, 36]",2022-06-22,63.546,7.522,3358,en,False
274,Scary Movie 5,Scary Movie 5,4258,[35],2013-04-11,63.475,4.8,2759,en,False
275,The Last Witch Hunter,The Last Witch Hunter,274854,"[14, 28, 12, 27]",2015-10-21,63.172,5.971,3556,en,False
276,Valerian and the City of a Thousand Planets,Valerian and the City of a Thousand Planets,339964,"[12, 878, 28]",2017-07-20,63.083,6.6,7422,en,False
277,Dark Shadows,Dark Shadows,62213,"[35, 14]",2012-05-09,63.074,6.076,7110,en,False
278,2012,2012,14161,"[28, 12, 878]",2009-10-10,62.76,5.843,11847,en,False
279,Pacific Rim,Pacific Rim,68726,"[28, 878, 12]",2013-07-11,62.729,6.901,12303,en,False
280,Once Upon a Time... in Hollywood,Once Upon a Time... in Hollywood,466272,"[35, 18, 53]",2019-07-24,63.157,7.439,13305,en,False
281,Roald Dahl's The Witches,Roald Dahl's The Witches,531219,"[10751, 35, 14]",2020-10-26,46.904,6.4,2783,en,False
282,Love at First Sight,Love at First Sight,353577,"[10749, 18]",2023-09-15,58.168,7.247,553,en,False
283,Sex and the City,Sex and the City,4564,"[35, 18, 10749]",2008-05-12,73.864,6.6,2099,en,False
284,Space Jam: A New Legacy,Space Jam: A New Legacy,379686,"[10751, 16, 35, 878]",2021-07-08,87.241,6.7,3986,en,False
285,Army of the Dead,Army of the Dead,503736,"[28, 80, 27]",2021-05-14,61.606,6.234,3962,en,False
286,Run All Night,Run All Night,241554,"[28, 80, 53]",2015-03-11,87.142,6.41,2766,en,False
287,The Day After Tomorrow,The Day After Tomorrow,435,"[28, 12, 878, 53]",2004-05-26,70.349,6.5,8022,en,False
288,Chef,Chef,212778,[35],2014-05-08,48.761,7.122,3238,en,False
289,A través del mar,Through My Window: Across the Sea,988078,"[10749, 18, 35]",2023-06-23,63.036,6.5,813,es,False
290,फाइटर,Fighter,784651,"[28, 18]",2024-01-24,69.568,5.9,109,hi,False
291,Final Destination 3,Final Destination 3,9286,"[27, 9648]",2006-02-09,86.205,6.1,3815,en,False
292,Barbarian,Barbarian,913290,"[27, 9648]",2022-09-08,86.185,6.833,2419,en,False
293,The Purge,The Purge,158015,"[878, 27, 53]",2013-05-31,55.727,6.26,8304,en,False
294,Superbad,Superbad,8363,[35],2007-03-20,54.961,7.252,7217,en,False
295,Saw VI,Saw VI,22804,"[27, 53]",2009-10-22,85.555,6.288,3163,en,False
296,Percy Jackson & the Olympians: The Lightning Thief,Percy Jackson & the Olympians: The Lightning Thief,32657,"[12, 14, 10751]",2010-02-01,59.651,6.213,7382,en,False
297,8 Mile,8 Mile,65,"[18, 10402]",2002-11-08,67.9,7.137,7162,en,False
298,Godzilla vs. Kong,Godzilla vs. Kong,399566,"[28, 878, 12]",2021-03-24,84.331,7.599,9910,en,False
299,American Gangster,American Gangster,4982,"[18, 80]",2007-11-02,37.318,7.585,5340,en,False
300,The Pursuit of Happyness,The Pursuit of Happyness,1402,[18],2006-12-14,60.353,7.901,9752,en,False
301,To All the Boys: Always and Forever,To All the Boys: Always and Forever,614409,"[10749, 35, 18]",2021-02-12,60.328,7.6,1882,en,False
302,The Harder They Fall,The Harder They Fall,618162,[37],2021-10-22,60.314,6.647,1037,en,False
303,Five Feet Apart,Five Feet Apart,527641,"[10749, 18]",2019-03-14,60.22,8.3,5556,en,False
304,Final Destination 5,Final Destination 5,55779,"[27, 9648]",2011-08-12,60.218,6.099,3366,en,False
305,Spaceman,Spaceman,636706,"[878, 12, 18]",2024-02-23,60.144,6.8,759,en,False
306,The Casagrandes Movie,The Casagrandes Movie,1216512,"[16, 35, 10751]",2024-03-21,60.031,7.2,36,en,False
307,Ice Age: Collision Course,Ice Age: Collision Course,278154,"[12, 16, 10751, 35]",2016-06-23,60.024,6.1,4492,en,False
308,The Remaining,The Remaining,280002,"[53, 27]",2014-08-25,59.936,6.1,434,en,False
309,300: Rise of an Empire,300: Rise of an Empire,53182,"[28, 18, 10752]",2014-03-05,59.886,6.1,6433,en,False
310,Katt Williams: Woke Foke,Katt Williams: Woke Foke,1270880,"[35, 99, 10770]",2024-05-04,59.445,6.0,13,en,False
311,The Polar Express,The Polar Express,5255,"[16, 12, 10751, 14]",2004-11-10,59.291,6.72,6196,en,False
312,Get Out,Get Out,419430,"[9648, 53, 27]",2017-02-24,59.242,7.6,17249,en,False
313,A Million Ways to Die in the West,A Million Ways to Die in the West,188161,"[35, 37]",2014-05-22,59.032,6.0,4035,en,False
314,Jupiter Ascending,Jupiter Ascending,76757,"[878, 14, 28]",2015-02-04,58.993,5.456,6687,en,False
315,Rush Hour 3,Rush Hour 3,5174,"[28, 35, 80]",2007-08-08,58.889,6.48,3244,en,False
316,崖の上のポニョ,Ponyo,12429,"[16, 14, 10751]",2008-07-19,58.87,7.7,4248,ja,False
317,Fun with Dick and Jane,Fun with Dick and Jane,7552,"[35, 80]",2005-12-21,58.237,6.198,2389,en,False
318,The Intern,The Intern,257211,[35],2015-09-23,57.73,7.218,6625,en,False
319,るろうに剣心 京都大火編,Rurouni Kenshin Part II: Kyoto Inferno,221731,"[28, 12, 18, 14]",2014-08-01,57.653,7.6,559,ja,False
320,Red Notice,Red Notice,512195,"[28, 35, 80]",2021-11-04,55.907,6.773,5710,en,False
321,The Sea Beast,The Sea Beast,560057,"[16, 12, 28, 10751, 14]",2022-06-24,80.522,7.4,1441,en,False
322,Godzilla,Godzilla,124905,"[28, 18, 878]",2014-05-14,78.539,6.339,9040,en,False
323,The Babysitter: Killer Queen,The Babysitter: Killer Queen,623491,"[35, 27]",2020-09-10,67.537,6.352,1615,en,False
324,Murder Mystery 2,Murder Mystery 2,638974,"[9648, 35, 80]",2023-03-28,79.474,6.4,1666,en,False
325,Django Unchained,Django Unchained,68718,"[18, 37]",2012-12-25,66.761,8.2,26066,en,False
326,Teenage Mutant Ninja Turtles: Out of the Shadows,Teenage Mutant Ninja Turtles: Out of the Shadows,308531,"[28, 12, 35, 10751, 878]",2016-06-01,79.37,6.028,3465,en,False
327,Enola Holmes,Enola Holmes,497582,"[12, 9648, 80]",2020-09-23,40.012,7.276,5959,en,False
328,Instant Family,Instant Family,491418,"[35, 18]",2018-11-13,46.508,7.522,2926,en,False
329,Zodiac,Zodiac,1949,"[80, 18, 9648, 53]",2007-03-02,39.25,7.527,10380,en,False
330,Glass Onion: A Knives Out Mystery,Glass Onion: A Knives Out Mystery,661374,"[35, 80, 9648]",2022-11-23,78.919,7.06,5432,en,False
331,Beasts of No Nation,Beasts of No Nation,283587,"[18, 10752]",2015-09-11,38.954,7.6,1708,en,False
332,The Girl Next Door,The Girl Next Door,10591,"[35, 10749]",2004-04-09,41.672,6.7,3455,en,False
333,Mighty Morphin Power Rangers: Once & Always,Mighty Morphin Power Rangers: Once & Always,1068141,"[28, 12, 878, 10751]",2023-04-19,65.169,6.562,249,en,False
334,Rush Hour 2,Rush Hour 2,5175,"[28, 35, 80]",2001-08-03,52.128,6.741,4046,en,False
335,るろうに剣心 最終章 The Final,Rurouni Kenshin: The Final,602063,"[28, 12, 36, 18]",2021-04-23,55.601,7.711,466,ja,False
336,Men in Black II,Men in Black II,608,"[28, 35, 878]",2002-07-03,71.332,6.371,9816,en,False
337,Jarhead,Jarhead,25,"[18, 10752]",2005-11-04,71.081,6.665,2845,en,False
338,The Incredible Hulk,The Incredible Hulk,1724,"[878, 28, 12]",2008-06-12,51.068,6.211,11642,en,False
339,Closer,Closer,2288,"[18, 10749]",2004-12-03,42.305,6.837,3364,en,False
340,Mechanic: Resurrection,Mechanic: Resurrection,278924,"[28, 80, 53]",2016-08-25,39.283,6.0,3330,en,False
341,El Infierno,El Infierno,52629,"[28, 80, 37, 35, 18]",2010-09-03,45.774,7.888,664,es,False
342,Annabelle: Creation,Annabelle: Creation,396422,[27],2017-08-03,72.777,6.594,5549,en,False
343,Skyscraper,Skyscraper,447200,"[28, 53, 12]",2018-07-11,62.528,6.3,4921,en,False
344,अशोक,Aśoka,4435,"[28, 12, 18, 36, 10749, 10752]",2001-09-13,39.517,6.5,147,hi,False
345,Accident Man: Hitman's Holiday,Accident Man: Hitman's Holiday,879444,"[28, 35, 80]",2022-10-14,48.291,6.565,161,en,False
346,Insurgent,Insurgent,262500,"[28, 12, 878, 53]",2015-03-18,54.232,6.4,9916,en,False
347,The Out-Laws,The Out-Laws,921636,"[10749, 28, 35]",2023-07-07,34.018,6.0,683,en,False
348,जवान,Jawan,872906,"[28, 80, 53]",2023-09-07,48.018,7.2,244,hi,False
349,となりのトトロ,My Neighbor Totoro,8392,"[14, 16, 10751]",1988-04-16,50.962,8.069,7882,ja,False
350,American Psycho,American Psycho,1359,"[53, 18, 80]",2000-04-13,47.703,7.401,10865,en,False
351,Shazam!,Shazam!,287947,"[28, 35, 14]",2019-03-29,47.674,7.009,9424,en,False
352,Storks,Storks,332210,"[12, 16, 35, 10751]",2016-09-22,49.415,6.657,2311,en,False
353,Monty Python and the Holy Grail,Monty Python and the Holy Grail,762,"[12, 35, 14]",1975-03-14,76.042,7.801,5732,en,False
354,るろうに剣心　伝説の最期編,Rurouni Kenshin Part III: The Legend Ends,221732,"[28, 12, 14]",2014-09-13,56.633,7.7,480,ja,False
355,Final Destination,Final Destination,9532,[27],2000-03-17,55.35,6.601,5547,en,False
356,R.I.P.D.,R.I.P.D.,49524,"[14, 28, 35]",2013-07-18,35.597,5.8,3946,en,False
357,Wish Dragon,Wish Dragon,550205,"[16, 10751, 35, 14]",2021-01-15,75.47,7.9,1324,en,False
358,Zombieland: Double Tap,Zombieland: Double Tap,338967,"[35, 27]",2019-10-09,33.593,6.936,5615,en,False
359,Addicted,Addicted,235271,"[18, 53]",2014-10-10,69.086,5.9,401,en,False
360,Mortal Kombat,Mortal Kombat,460465,"[28, 14, 12]",2021-04-07,75.338,7.036,5772,en,False
361,Extraction,Extraction,545609,"[28, 53]",2020-04-23,48.567,7.3,5991,en,False
362,Beat the Devil,Beat the Devil,22733,"[12, 35]",1953-11-26,74.555,6.1,144,en,False
363,आदिपुरुष,Adipurush,734253,"[28, 12, 14]",2023-06-16,52.131,5.1,85,hi,False
364,Scrooge: A Christmas Carol,Scrooge: A Christmas Carol,1001865,"[16, 10751, 14]",2022-11-18,71.555,6.746,418,en,False
365,Hitman: Agent 47,Hitman: Agent 47,249070,"[28, 80, 53]",2015-08-20,41.277,5.8,2999,en,False
366,13 หมูป่า: เรื่องเล่าจากในถ้ำ,The Trapped 13: How We Survived The Thai Cave,1025169,[99],2022-10-05,62.751,6.3,82,th,False
367,Time Trap,Time Trap,455839,"[878, 12]",2018-06-22,74.768,6.2,1097,en,False
368,Goyo,Goyo,1191610,"[18, 10749, 35]",2024-06-27,38.801,6.8,55,es,False
369,The Boy in the Striped Pyjamas,The Boy in the Striped Pyjamas,14574,"[18, 10752, 36]",2008-05-07,49.211,7.841,7063,en,False
370,Clash of the Titans,Clash of the Titans,18823,"[12, 14, 28]",2010-03-26,44.198,5.906,6164,en,False
371,12 Strong,12 Strong,429351,"[10752, 18, 28, 36]",2018-01-18,38.697,6.323,2929,en,False
372,The Adam Project,The Adam Project,696806,"[12, 878]",2022-03-11,36.175,7.039,4270,en,False
373,海がきこえる,Ocean Waves,21057,"[16, 18, 10749]",1994-10-07,31.546,6.395,855,ja,False
374,The SpongeBob Movie: Sponge on the Run,The SpongeBob Movie: Sponge on the Run,400160,"[10751, 16, 14, 12, 35]",2020-08-14,69.897,7.5,2829,en,False
375,DC League of Super-Pets,DC League of Super-Pets,539681,"[16, 28, 10751, 35, 878]",2022-07-27,37.135,7.2,1524,en,False
376,War Dogs,War Dogs,308266,"[35, 80, 18]",2016-08-18,60.617,6.922,4843,en,False
377,Tag,Tag,455980,"[35, 28]",2018-05-30,47.342,6.707,3079,en,False
378,Feel the Beat,Feel the Beat,707886,"[35, 10402, 18]",2020-06-19,72.475,7.588,1108,en,False
379,Heart of the Hunter,Heart of the Hunter,1181548,[28],2024-03-28,48.591,6.0,104,en,False
380,Tenet,Tenet,577922,"[28, 53, 878]",2020-08-22,45.254,7.185,9761,en,False
381,Black Hawk Down,Black Hawk Down,855,"[28, 10752, 36]",2001-12-28,43.236,7.4,5666,en,False
382,Star Trek Beyond,Star Trek Beyond,188927,"[28, 12, 878]",2016-07-07,31.226,6.785,6555,en,False
383,The Last Kingdom: Seven Kings Must Die,The Last Kingdom: Seven Kings Must Die,948713,"[28, 12, 10752]",2023-04-14,71.985,7.23,668,en,False
384,Magic Mike's Last Dance,Magic Mike's Last Dance,906221,"[35, 18, 10749]",2023-02-09,71.819,6.624,464,en,False
385,The Hunger Games,The Hunger Games,70160,"[878, 12, 14]",2012-03-12,41.873,7.21,21805,en,False
386,María Soledad: El fin del silencio,Breaking the Silence: The Maria Soledad Case,1362480,[99],2024-10-09,46.33,8.0,3,es,False
