,original_name,name,id,genre_ids,first_air_date,popularity,vote_average,vote_count,original_language,adult
453,Care Bears: Unlock the Magic,Care Bears: Unlock the Magic,97959,"[16, 10751, 10762]",2019-01-28,10.804,7.0,3,en,False
454,Extreme Cheapskates,Extreme Cheapskates,59271,"[10764, 10751]",2012-10-16,10.783,6.5,18,en,False
455,I'll Be Gone in the Dark,I'll Be Gone in the Dark,103023,"[99, 80]",2020-06-28,10.708,7.2,112,en,False
456,Last Call: When a Serial Killer Stalked Queer New York,Last Call: When a Serial Killer Stalked Queer New York,229166,"[99, 80]",2023-07-09,10.668,7.4,8,en,False
457,Joe Pera Talks With You,Joe Pera Talks With You,79864,[35],2018-05-21,10.642,8.25,28,en,False
458,Love Has Won: The Cult of Mother God,Love Has Won: The Cult of Mother God,238179,[99],2023-11-13,10.581,6.9,16,en,False
459,誰在你身邊,Who's By Your Side,131892,[18],2021-10-03,10.569,3.7,3,zh,False
460,獵夢特工,Dream Raider,107233,[9648],2020-08-16,10.521,4.8,4,zh,False
461,McMillion$,McMillion$,96213,"[99, 80, 18]",2020-02-03,10.481,7.02,102,en,False
462,Brother vs. Brother,Brother vs. Brother,57758,[10764],2013-07-21,10.378,7.1,17,en,False
463,Crikey! It's the Irwins,Crikey! It's the Irwins,83542,[99],2018-10-28,10.373,8.3,13,en,False
464,Wahl Street,Wahl Street,122063,[99],2021-04-15,10.312,5.7,7,en,False
465,El caso Sancho,The Sancho Case,263246,[99],2024-04-09,10.306,0.0,0,es,False
466,Ghost Nation,Ghost Nation,93313,[10764],2019-10-11,10.154,9.3,19,en,False
467,Three Busy Debras,Three Busy Debras,99858,[35],2020-03-30,10.143,6.2,17,en,False
468,Outrageous Acts of Science,Outrageous Acts of Science,49450,"[10764, 99]",2013-04-20,10.07,6.4,7,en,False
469,Blood Relatives,Blood Relatives,48736,"[80, 99]",2012-06-07,10.022,6.7,6,en,False
470,Auga Seca,Dry Water,97519,[18],2020-02-02,9.848,5.6,9,gl,False
471,The Jellies,The Jellies,74501,"[16, 35]",2017-10-22,9.793,5.2,6,en,False
472,The Rehearsal,The Rehearsal,204284,"[35, 99]",2022-07-15,9.762,8.119,151,en,False
473,Ren Faire,Ren Faire,245929,"[99, 10765]",2024-06-02,9.761,7.1,7,en,False
474,The Pact,The Pact,125366,"[80, 18, 9648]",2021-05-17,9.695,7.3,39,en,False
475,Pustina,Wasteland,68406,"[9648, 18]",2016-10-30,9.616,6.852,27,cs,False
476,Los Espookys,Los Espookys,87107,"[35, 18, 10751]",2019-06-14,9.611,6.4,33,es,False
477,Lone Star Law,Lone Star Law,67095,"[10764, 80]",2016-06-02,9.585,5.1,4,en,False
478,The Playboy Murders,The Playboy Murders,218982,"[80, 99]",2023-01-23,9.536,6.4,5,en,False
479,A Very British Scandal,A Very British Scandal,139064,[18],2021-12-26,9.411,6.9,49,en,False
480,Ed Stafford: First Man Out,Ed Stafford: First Man Out,86479,[10764],2019-01-31,9.361,6.1,8,en,False
481,Verano azul,Verano azul,6066,[35],1981-10-11,9.337,8.024,41,es,False
482,Destination Fear,Destination Fear,58777,"[10764, 99]",2019-10-26,9.332,8.6,16,en,False
483,Lost Worlds,Lost Worlds,7634,[99],2006-07-10,9.328,8.0,2,en,False
484,The Red Line,The Red Line,86365,"[18, 80]",2019-04-28,9.323,7.64,25,en,False
485,Caribbean Life,Caribbean Life,69950,[10764],2014-01-01,9.323,8.0,1,en,False
486,What Am I Eating? With Zooey Deschanel,What Am I Eating? With Zooey Deschanel,225866,"[10751, 10764]",2023-05-23,9.318,7.0,1,en,False
487,Pico da Neblina,Joint Venture,91907,"[18, 80]",2019-08-04,9.232,7.7,17,pt,False
488,The Girl Before,The Girl Before,152365,"[18, 9648]",2021-12-19,9.222,6.4,47,en,False
489,Codes and Conspiracies,Codes and Conspiracies,84223,[99],2014-03-09,9.222,6.0,5,en,False
490,Angel City,Angel City,223237,[99],2023-05-16,9.195,5.8,6,en,False
491,The Murder Tapes,The Murder Tapes,93005,"[80, 99]",2019-08-28,9.15,8.4,14,en,False
492,Telemarketers,Telemarketers,231396,[99],2023-08-13,9.129,6.8,18,en,False
493,The Haunted Museum,The Haunted Museum,135373,"[18, 9648]",2021-10-02,9.118,6.7,6,en,False
494,Treehouse Masters,Treehouse Masters,49474,[10764],2013-05-31,9.055,6.7,16,en,False
495,Lethally Blonde,Lethally Blonde,241513,"[99, 80]",2024-03-25,9.033,7.0,2,en,False
496,Naked Attraction España,Naked Attraction España,254994,[10764],2024-05-21,8.977,5.7,3,es,False
497,The Passion,The Passion,14180,[18],2008-03-16,8.976,5.2,10,en,False
498,The Price of Glee,The Price of Glee,218502,[99],2023-01-16,8.837,5.4,9,en,False
499,Malaka,Malaka,93448,"[18, 80]",2019-09-09,8.797,7.0,17,es,False
500,Vota Juan,Vote for Juan,86127,[35],2019-01-25,8.771,6.4,18,es,False
501,"The Way Down: God, Greed, and the Cult of Gwen Shamblin","The Way Down: God, Greed, and the Cult of Gwen Shamblin",131561,[99],2021-09-30,8.764,6.6,11,en,False
502,Exposed: Naked Crimes,Exposed: Naked Crimes,239529,"[99, 80]",2023-11-21,8.763,0.0,0,en,False
503,The Freak Brothers,The Freak Brothers,137164,"[16, 35]",2021-11-14,8.723,5.6,16,en,False
504,Pollos sin cabeza,Headless Chickens,222322,"[35, 18]",2023-04-28,8.706,6.7,16,es,False
505,Interstellar Ella,Interstellar Ella,212171,[16],2022-10-17,8.693,5.0,2,nl,False
506,Angela Black,Angela Black,136069,[18],2021-10-10,8.679,6.429,21,en,False
507,Días de Gallos,Rap Battlefield,133423,[18],2021-09-16,8.664,7.8,136,es,False
508,Downey's Dream Cars,Downey's Dream Cars,224386,[99],2023-06-22,8.64,6.7,11,en,False
509,Hořící keř,Burning Bush,59149,"[18, 10768]",2013-01-27,8.618,7.071,21,cs,False
510,Chimp Crazy,Chimp Crazy,259271,[99],2024-08-18,8.571,7.5,4,en,False
511,Conan O'Brien Must Go,Conan O'Brien Must Go,226698,"[99, 35]",2024-04-18,8.487,8.4,17,en,False
512,Deadline: Crime with Tamron Hall,Deadline: Crime with Tamron Hall,74532,"[99, 80, 10764, 10767]",2013-09-01,8.466,8.1,8,en,False
513,The Bad Skin Clinic,The Bad Skin Clinic,98927,"[10764, 99]",2019-08-13,8.463,0.0,0,en,False
514,The Curious Case of Natalia Grace,The Curious Case of Natalia Grace,226706,"[99, 80]",2023-05-29,8.459,7.7,23,en,False
515,A World of Calm,A World of Calm,106081,[99],2020-10-01,8.436,6.8,11,en,False
516,Obama: In Pursuit of a More Perfect Union,Obama: In Pursuit of a More Perfect Union,126423,[99],2021-08-03,8.403,5.6,7,en,False
517,Body Bizarre,Body Bizarre,67605,"[99, 18, 10764]",2013-11-11,8.392,0.0,0,en,False
518,Misfit Garage,Misfit Garage,64906,[10764],2014-10-13,8.385,7.0,5,en,False
519,Insane Pools: Off the Deep End,Insane Pools: Off the Deep End,66661,[10764],2015-02-20,8.372,8.0,4,en,False
520,Casa Grande,Casa Grande,221391,[18],2023-05-01,8.352,5.0,4,en,False
521,"Gordon, Gino and Fred's Road Trip","Gordon, Gino and Fred's Road Trip",83118,[10764],2018-10-11,8.26,8.1,23,en,False
522,No Demo Reno,No Demo Reno,121930,[10764],2021-03-25,8.207,6.8,5,en,False
523,Spacey Unmasked,Spacey Unmasked,252727,[99],2024-05-06,8.136,5.2,8,en,False
524,George Carlin's American Dream,George Carlin's American Dream,201123,[99],2022-05-20,8.113,7.9,35,en,False
525,Hausen,Hausen,109357,"[18, 9648, 10765]",2020-10-22,8.095,5.3,16,de,False
526,On the Roam,On the Roam,242945,"[99, 10759]",2024-01-18,7.975,7.5,4,en,False
527,My Feet Are Killing Me,My Feet Are Killing Me,97122,"[99, 10764]",2020-01-01,7.973,5.6,9,en,False
528,Holmes and Holmes,Holmes and Holmes,80977,[10764],2016-11-10,7.944,10.0,1,en,False
529,The Golden Boy,The Golden Boy,228355,[99],2023-07-24,7.927,7.0,4,en,False
530,100 Foot Wave,100 Foot Wave,121481,"[99, 10764, 18]",2021-07-18,7.874,7.8,13,en,False
531,Married to Evil,Married to Evil,227971,"[80, 99]",2023-05-29,7.871,10.0,1,en,False
532,¡García!,García!,125118,"[10759, 10765, 18]",2022-10-28,7.836,6.0,25,es,False
533,Пять с плюсом,Пять с плюсом,119613,[35],2021-03-25,7.803,9.0,1,ru,False
534,Harley and the Davidsons,Harley and the Davidsons,67673,[18],2016-09-05,7.798,7.768,41,en,False
535,Shaq,Shaq,213083,[99],2022-11-23,7.778,7.423,26,en,False
536,Visitors,Visitors,127987,"[35, 10765]",2022-05-10,7.733,6.6,28,fr,False
537,Wild Republic,Wild Republic,123348,"[18, 10759]",2021-04-15,7.699,5.6,17,de,False
538,En el corredor de la muerte,En el corredor de la muerte,92500,[18],2019-09-13,7.696,6.6,9,es,False
539,That Damn Michael Che,That Damn Michael Che,124152,[35],2021-05-06,7.673,6.9,14,en,False
540,Sex Sent Me to the ER,Sex Sent Me to the ER,60950,"[99, 10764]",2013-12-28,7.652,6.8,11,en,False
541,Redrum,Redrum,64888,"[80, 99]",2013-01-15,7.621,6.4,5,en,False
542,Ślepnąc od świateł,Blinded by the Lights,82858,"[80, 18, 10759]",2018-10-27,7.613,7.5,39,pl,False
543,NASA's Unexplained Files,NASA's Unexplained Files,57478,"[99, 10767, 9648]",2012-03-27,7.61,7.052,29,en,False
544,Lu & the Bally Bunch,Lu & the Bally Bunch,226057,"[10762, 16]",2023-04-12,7.598,0.0,0,en,False
545,Onision: In Real Life,Onision: In Real Life,116019,[99],2021-01-04,7.549,8.0,4,en,False
