,original_name,name,id,genre_ids,first_air_date,popularity,vote_average,vote_count,original_language,adult
1549,Harry & Meghan,Harry & Meghan,215492,[99],2022-12-08,10.071,6.2,95,en,False
1550,The Disappearance of Madeleine McCann,The Disappearance of Madeleine McCann,87600,"[80, 99]",2019-03-15,11.921,6.3,74,en,False
1551,Erin & Aaron,Erin & Aaron,222024,"[35, 10751, 18]",2023-04-20,15.091,7.3,12,en,False
1552,Inside Bill's Brain: Decoding Bill Gates,Inside Bill's Brain: Decoding Bill Gates,93016,[99],2019-09-20,11.197,7.3,109,en,False
1553,The Joel McHale Show with Joel McHale,The Joel McHale Show with Joel McHale,77076,"[35, 10767]",2018-02-18,12.845,6.0,30,en,False
1554,Spirit Rangers,Spirit Rangers,119847,"[10762, 16, 10765, 10759]",2022-10-10,10.925,6.6,13,en,False
1555,Blodsbrødre,Gangs of Oslo,216604,"[80, 18]",2023-01-19,12.697,7.2,33,no,False
1556,28 Days Haunted,28 Days Haunted,210922,[10764],2022-10-21,14.137,6.842,98,en,False
1557,Onisciente,Omniscient,98510,"[10765, 18]",2020-01-29,9.808,6.5,46,pt,False
1558,AMERICA'S SWEETHEARTS: Dallas Cowboys Cheerleaders,AMERICA'S SWEETHEARTS: Dallas Cowboys Cheerleaders,252257,[99],2024-06-20,8.509,8.4,14,en,False
1559,Criminal: France,Criminal: France,93888,"[18, 80, 9648]",2019-09-20,10.667,6.8,83,fr,False
1560,Champions,Champions,71744,[35],2018-03-08,10.412,5.6,33,en,False
1561,Znaki,Signs,81987,"[80, 9648]",2018-10-10,7.85,6.9,56,pl,False
1562,"The Program: Cons, Cults and Kidnapping","The Program: Cons, Cults and Kidnapping",246698,[99],2024-03-05,7.717,7.9,24,en,False
1563,"Pepsi, Where's My Jet?","Pepsi, Where's My Jet?",213134,[99],2022-11-17,7.886,6.6,90,en,False
1564,Prank Encounters,Prank Encounters,94515,"[10764, 35]",2019-10-25,9.918,7.1,207,en,False
1565,How to Become a Cult Leader,How to Become a Cult Leader,230043,"[99, 80]",2023-07-28,11.783,6.875,28,en,False
1566,Cindy la Regia: La serie,Cindy la Regia: The High School Years,240105,"[35, 18]",2023-12-20,6.914,6.1,15,es,False
1567,Haters Back Off,Haters Back Off,67148,[35],2016-10-14,12.621,6.1,74,en,False
1568,ユニコーンに乗って,Riding a Unicorn,204027,[18],2022-07-05,10.288,6.8,4,ja,False
1569,Fatma,Fatma,123138,"[80, 18]",2021-04-27,12.156,7.1,75,tr,False
1570,Chico Bon Bon: Monkey with a Tool Belt,Chico Bon Bon: Monkey with a Tool Belt,103174,"[16, 10762]",2020-05-08,10.02,7.0,4,en,False
1571,Spirit Riding Free: Pony Tales,Spirit Riding Free: Pony Tales,92204,"[16, 10759, 10762]",2019-08-09,12.405,7.2,17,en,False
1572,Phantom Pups,Phantom Pups,210694,[10751],2022-09-30,15.246,8.1,60,en,False
1573,Medianoche en Asia: Comer · Bailar · Soñar,Medianoche en Asia: Comer · Bailar · Soñar,155618,[99],2022-01-20,8.072,5.4,14,en,False
1574,ONI: Thunder God's Tale,ONI: Thunder God's Tale,201213,"[10759, 16]",2022-10-21,13.867,7.7,32,en,False
1575,Kitti Katz,Kitti Katz,224981,"[16, 10759]",2023-05-18,11.367,7.6,15,en,False
1576,Red Rose,Red Rose,207878,[18],2022-08-15,9.234,6.186,86,en,False
1577,Evil Genius,Evil Genius,79126,"[99, 80]",2018-05-11,12.136,7.4,210,en,False
1578,宇宙を駆けるよだか,Switched,81315,"[18, 10765]",2018-08-01,14.815,7.6,31,ja,False
1579,Keep Sweet: Pray and Obey,Keep Sweet: Pray and Obey,202880,"[99, 80]",2022-06-08,7.94,7.5,93,en,False
1580,Zero Chill,Zero Chill,120849,"[18, 35, 10751]",2021-03-15,11.72,7.2,86,en,False
1581,신인가수 조정석,A-List to Playlist,248123,[10764],2024-08-30,14.874,9.0,2,ko,False
1582,Merry Happy Whatever,Merry Happy Whatever,94587,[35],2019-11-28,10.838,6.4,82,en,False
1583,Our Universe,Our Universe,213608,[99],2022-11-22,8.743,7.6,45,en,False
1584,Blood Sisters,Blood Sisters,197428,"[80, 18]",2022-05-05,9.637,8.2,130,en,False
1585,The Comedy Lineup,The Comedy Lineup,80366,[35],2018-07-03,11.421,5.2,10,en,False
1586,Zachowaj spokój,Hold Tight,158155,"[9648, 80, 18]",2022-04-22,9.702,6.6,69,pl,False
1587,코리아 넘버원,Korea No.1,213471,"[10764, 35]",2022-11-25,11.809,6.3,14,ko,False
1588,Animal,Animal,137646,[99],2021-11-10,9.839,8.0,32,en,False
1589,ノーサイド・ゲーム,No Side Game,91472,[18],2019-07-07,10.577,7.1,7,ja,False
1590,Julestorm,A Storm for Christmas,210532,"[18, 35]",2022-12-16,11.045,7.1,47,no,False
1591,Waffles + Mochi,Waffles + Mochi,118439,[10762],2021-03-16,10.391,6.8,34,en,False
1592,俺の家の話,Story of My Family!!!,117184,"[35, 18]",2021-01-22,14.963,7.9,18,ja,False
1593,Masum,Innocent,69786,"[80, 18, 9648]",2017-01-27,9.577,7.662,74,tr,False
1594,Kiss Me First,Kiss Me First,76604,"[18, 9648, 10765]",2018-04-02,8.118,6.527,92,en,False
1595,Brokat,Glitter,215629,[18],2022-12-14,10.328,4.7,15,pl,False
