,original_name,name,id,genre_ids,first_air_date,popularity,vote_average,vote_count,original_language,adult
123,Fresh Off the Boat,Fresh Off the Boat,61692,[35],2015-02-04,92.527,7.14,247,en,False
124,アンデッドアンラック,Undead Unluck,209077,"[16, 35, 10765, 10759]",2023-10-07,91.44,7.906,69,ja,False
125,Godfather of Harlem,Godfather of Harlem,79086,"[18, 80]",2019-09-29,89.412,8.097,531,en,False
126,Marvel's Luke Cage,Marvel's Luke Cage,62126,"[18, 10765, 10759, 80]",2016-09-30,89.368,6.936,1747,en,False
127,That's So Raven,That's So Raven,4602,"[35, 10765]",2003-01-17,88.435,7.2,232,en,False
128,Perception,Perception,39957,"[80, 18, 9648]",2012-07-09,88.426,7.236,233,en,False
129,The Ghost and Molly McGee,The Ghost and Molly McGee,92649,"[16, 10765, 10762]",2021-10-01,86.285,8.088,34,en,False
130,Raven's Home,Raven's Home,72027,"[10751, 35, 18]",2017-07-21,84.032,7.9,134,en,False
131,The Gifted,The Gifted,69629,"[10765, 10759, 18]",2017-10-02,83.777,7.6,1453,en,False
132,Timon and Pumbaa,Timon and Pumbaa,4429,"[10751, 16, 35]",1995-09-08,81.953,7.248,617,en,False
133,Spider-Man,Spider-Man,888,"[16, 10759]",1994-11-19,81.952,8.27,1006,en,False
134,SYNDUALITY Noir,Synduality Noir,210181,"[16, 10759, 10765]",2023-07-11,81.434,5.1,11,ja,False
135,Percy Jackson and the Olympians,Percy Jackson and the Olympians,103540,"[10759, 10765, 18, 10751]",2023-12-19,81.232,7.407,478,en,False
136,Pedro el escamoso: más escamoso que nunca,Peter the Great: Greater Than Ever,236996,"[35, 10751]",2024-07-16,80.603,8.3,41,es,False
137,The Golden Girls,The Golden Girls,1678,[35],1985-09-14,80.603,7.54,323,en,False
138,Moon Knight,Moon Knight,92749,"[10759, 10765, 9648]",2022-03-30,80.331,7.7,2845,en,False
139,The Suite Life of Zack & Cody,The Suite Life of Zack & Cody,4605,"[35, 10751, 10762]",2005-03-18,80.095,7.658,638,en,False
140,Lie to Me,Lie to Me,8358,"[80, 18, 9648]",2009-01-21,79.611,7.907,1470,en,False
141,Cougar Town,Cougar Town,18202,[35],2009-09-23,78.548,6.397,224,en,False
142,Ugly Betty,Ugly Betty,4626,"[35, 18]",2006-09-28,78.054,6.3,225,en,False
143,La que se avecina,La que se avecina,35338,[35],2007-04-22,77.228,8.2,242,es,False
144,Recess,Recess,1546,"[16, 10762, 35]",1997-09-13,77.091,7.704,468,en,False
145,Violetta,Violetta,61720,"[10751, 18, 35, 10766]",2012-05-14,76.963,8.13,296,es,False
146,Marvel's Ultimate Spider-Man,Marvel's Ultimate Spider-Man,34391,"[10762, 10759, 16, 35, 10751]",2012-04-01,76.303,7.681,988,en,False
147,Mayans M.C.,Mayans M.C.,76231,"[80, 18]",2018-09-04,76.079,8.051,754,en,False
148,The Lion Guard,The Lion Guard,64752,"[10762, 16]",2016-01-15,76.034,7.6,234,en,False
149,Amphibia,Amphibia,85349,"[16, 35, 10759, 10765, 10751, 10762]",2019-06-17,74.82,8.6,272,en,False
150,Secret Invasion,Secret Invasion,114472,"[18, 10765, 10759]",2023-06-21,74.444,6.737,1061,en,False
151,ザ・ファブル,The Fable,238843,"[16, 35, 10759, 80]",2024-04-07,73.783,7.567,15,ja,False
152,"Mira, Royal Detective","Mira, Royal Detective",100975,"[10762, 16]",2020-03-20,73.779,6.2,11,en,False
153,サマータイムレンダ,Summer Time Rendering,117933,"[16, 18, 9648]",2022-04-15,73.556,8.093,123,ja,False
154,Star Wars Resistance,Star Wars Resistance,79093,"[10765, 16, 10759]",2018-10-07,73.369,6.4,134,en,False
155,The Cleveland Show,The Cleveland Show,15632,"[16, 35]",2009-09-27,73.179,5.835,402,en,False
156,Star Wars: The Bad Batch,Star Wars: The Bad Batch,105971,"[16, 10759, 10765]",2021-05-04,73.16,8.2,975,en,False
157,The Emperor's New School,The Emperor's New School,4623,"[35, 10762, 16, 10765]",2006-01-27,72.944,7.32,136,en,False
158,Sisi,Sisi,153282,[18],2021-12-28,72.759,7.5,90,de,False
159,Rosewood,Rosewood,63329,[18],2015-09-23,72.608,6.5,156,en,False
160,Doc McStuffins,Doc McStuffins,46262,"[16, 10762, 10751]",2012-03-23,72.26,6.0,57,en,False
161,Big Sky,Big Sky,100010,"[80, 18, 9648]",2020-11-17,72.074,7.272,259,en,False
162,Good Luck Charlie,Good Luck Charlie,21641,"[35, 10751, 10762]",2010-04-04,71.846,7.94,397,en,False
163,七夕の国,Land of Tanabata,243975,"[18, 9648, 10765]",2024-07-04,71.818,6.5,6,ja,False
164,grown-ish,grown-ish,71885,[35],2018-01-03,71.646,8.1,146,en,False
165,The Kardashians,The Kardashians,154521,[10764],2022-04-14,71.537,8.573,2053,en,False
166,킬러들의 쇼핑몰,A Shop for Killers,215072,"[18, 10759, 9648, 80]",2024-01-17,71.388,8.3,62,ko,False
167,American Crime Story,American Crime Story,64513,"[80, 18]",2016-02-02,71.261,7.5,942,en,False
168,Good Trouble,Good Trouble,80006,[18],2019-01-08,70.877,7.634,164,en,False
169,폭군,The Tyrant,246748,"[10759, 18, 10765]",2024-08-14,69.972,7.3,33,ko,False
170,Life in Pieces,Life in Pieces,63398,[35],2015-09-21,69.833,7.025,121,en,False
171,Doctor Who,Doctor Who,239770,"[10759, 18, 10765]",2024-05-11,67.958,6.51,149,en,False
172,Siren,Siren,71886,"[10765, 18]",2018-03-29,66.85,7.733,3322,en,False
173,Scream Queens,Scream Queens,62046,"[9648, 35]",2015-09-22,65.203,7.872,1693,en,False
174,무빙,Moving,126485,"[9648, 18]",2023-08-09,65.09,8.4,170,ko,False
175,天国大魔境,Tengoku Daimakyo,208891,"[16, 9648, 10759, 10765]",2023-04-01,64.734,7.994,171,ja,False
176,Marvel's Jessica Jones,Marvel's Jessica Jones,38472,"[10765, 18]",2015-11-20,64.576,7.5,2275,en,False
177,Girl Meets World,Girl Meets World,46028,"[35, 10751]",2014-06-27,63.868,8.362,679,en,False
178,설강화,Snowdrop,108291,"[18, 10768]",2021-12-18,63.765,8.509,265,ko,False
179,Austin & Ally,Austin & Ally,35279,"[35, 10762, 18]",2011-12-02,63.158,7.842,196,en,False
180,Rapunzel's Tangled Adventure,Rapunzel's Tangled Adventure,70047,"[10762, 16, 35]",2017-03-24,62.946,7.3,82,en,False
181,Star Wars: Visions,Star Wars: Visions,114478,"[16, 10765, 10759]",2021-09-22,62.682,7.2,358,en,False
182,Death and Other Details,Death and Other Details,133813,"[9648, 18, 80]",2024-01-16,62.625,6.686,110,en,False
183,Liv and Maddie,Liv and Maddie,59375,"[35, 10751, 18]",2013-07-19,62.602,8.075,379,en,False
184,Monsters at Work,Monsters at Work,90461,"[10751, 35, 16]",2021-07-07,62.514,7.2,1376,en,False
185,Mamá Cake,Mama Cake,272473,[35],2024-09-25,62.506,6.0,1,es,False
186,Marvel's Hit-Monkey,Marvel's Hit-Monkey,133903,"[16, 10759]",2021-11-17,62.483,7.8,133,en,False
187,Will Trent,Will Trent,208569,"[80, 18, 35]",2023-01-03,62.219,7.464,96,en,False
188,Kickin' It,Kickin' It,32716,"[10751, 10759, 35]",2011-06-13,62.04,8.3,169,en,False
189,X-Men,X-Men,4574,"[10762, 10765, 16, 10759]",1992-10-31,61.494,8.2,1181,en,False
190,She-Hulk: Attorney at Law,She-Hulk: Attorney at Law,92783,"[35, 10765]",2022-08-18,61.405,6.24,2110,en,False
191,Body of Proof,Body of Proof,32708,"[18, 80, 9648, 35]",2011-03-29,60.361,7.0,143,en,False
192,Boy Meets World,Boy Meets World,1777,"[18, 35, 10751]",1993-09-24,60.248,8.265,494,en,False
193,Ahsoka,Ahsoka,114461,"[10765, 10759]",2023-08-22,59.662,7.57,827,en,False
194,Shake It Up,Shake It Up,33213,"[10751, 10762, 35, 18]",2010-11-07,59.513,7.59,277,en,False
195,Legion,Legion,67195,"[10759, 10765, 18]",2017-02-08,58.484,7.5,1356,en,False
196,The Suite Life on Deck,The Suite Life on Deck,15079,"[35, 10751, 10762]",2008-09-26,58.246,7.8,492,en,False
197,Sheriff Callie's Wild West,Sheriff Callie's Wild West,61330,"[16, 37]",2013-12-13,57.845,5.6,9,en,False
198,Kadın,Woman,77532,[18],2017-10-24,57.664,7.572,430,tr,False
199,High School Musical: The Musical: The Series,High School Musical: The Musical: The Series,85801,"[10751, 35, 18]",2019-11-12,57.568,7.978,775,en,False
200,Mr Inbetween,Mr Inbetween,81358,"[80, 18]",2018-09-25,57.44,8.3,192,en,False
201,Marvel's Moon Girl and Devil Dinosaur,Marvel's Moon Girl and Devil Dinosaur,92788,"[16, 10762, 10765]",2023-02-10,57.399,7.6,29,en,False
202,The Killing,The Killing,34415,"[18, 80, 9648]",2011-04-03,57.197,7.9,736,en,False
203,지배종,Blood Free,209750,"[10765, 18]",2024-04-10,57.111,6.4,17,ko,False
204,Solar Opposites,Solar Opposites,97645,"[35, 16, 10765]",2020-05-08,57.08,7.8,488,en,False
205,The Falcon and the Winter Soldier,The Falcon and the Winter Soldier,88396,"[10759, 18]",2021-03-19,57.026,7.652,8387,en,False
206,The Great North,The Great North,93221,"[16, 35]",2021-01-03,56.879,6.8,60,en,False
207,The Glades,The Glades,33091,"[80, 18, 10759]",2010-07-11,55.336,7.053,113,en,False
208,コードギアス 奪還のロゼ,Code Geass: Rozé of the Recapture,255107,"[10759, 16, 10765]",2024-06-21,54.32,8.2,12,ja,False
209,Echo,Echo,122226,"[18, 80, 10759]",2024-01-09,53.683,6.232,414,en,False
210,Mickey Mouse,Mickey Mouse,46879,"[16, 10762, 35, 18]",2013-06-28,53.596,7.347,199,en,False
211,The Proud Family,The Proud Family,543,"[16, 35, 10762, 10751]",2001-09-15,53.455,7.8,133,en,False
212,Star Wars: Andor,Star Wars: Andor,83867,"[10765, 10759, 18]",2022-09-21,52.562,8.232,1193,en,False
213,Pocoyo,Pocoyo,2437,"[16, 10751]",2005-01-05,52.486,7.0,447,en,False
214,戦隊大失格,Go! Go! Loser Ranger!,215799,"[16, 10765, 10759, 35]",2024-04-07,52.305,7.219,16,ja,False
215,Fish Hooks,Fish Hooks,31499,"[16, 35, 10762]",2010-09-03,51.635,6.625,76,en,False
216,Lizzie McGuire,Lizzie McGuire,4575,"[35, 10762, 10751]",2001-01-12,51.584,7.3,318,en,False
217,War of the Worlds,War of the Worlds,86374,"[10765, 18]",2019-10-28,51.296,7.3,855,en,False
218,Ms. Marvel,Ms. Marvel,92782,"[10765, 10759, 35]",2022-06-08,51.006,6.432,1161,en,False
219,Marvel's Agent Carter,Marvel's Agent Carter,61550,"[18, 10765]",2015-01-06,50.064,7.538,1779,en,False
220,LEGO Star Wars: Rebuild the Galaxy,LEGO Star Wars: Rebuild the Galaxy,253760,"[10765, 35, 10759, 16, 10751]",2024-09-13,49.969,7.0,9,en,False
221,Marvel Studios Legends,Marvel Studios Legends,114695,"[99, 10759, 10765]",2021-01-08,49.899,7.402,653,en,False
222,Under the Bridge,Under the Bridge,211358,"[18, 80]",2024-04-17,49.795,8.116,129,en,False
223,3인칭 복수,Revenge of Others,208336,"[18, 9648]",2022-11-09,49.238,8.3,214,ko,False
224,We Were the Lucky Ones,We Were the Lucky Ones,200908,[18],2024-03-28,49.054,7.5,50,en,False
225,The Last Man on Earth,The Last Man on Earth,61888,"[18, 35]",2015-03-01,48.819,6.89,835,en,False
226,Puppy Dog Pals,Puppy Dog Pals,72089,"[16, 10762, 10751, 35, 18]",2017-04-14,48.701,6.1,16,en,False
227,Wu-Tang: An American Saga,Wu-Tang: An American Saga,90870,[18],2019-09-04,48.675,8.2,241,en,False
228,"링크: 먹고, 사랑하라, 죽이게","Link: Eat, Love, Kill",155231,"[18, 9648]",2022-06-06,47.926,7.701,92,ko,False
229,Selenkay,Selenkay,153577,"[18, 10765, 9648]",2024-08-21,47.716,7.7,17,es,False
230,Goosebumps,Goosebumps,157004,"[10759, 10765, 35]",2023-10-13,47.344,7.2,140,en,False
231,Atlanta,Atlanta,65495,"[35, 18]",2016-09-06,47.126,8.0,689,en,False
232,The Veil,The Veil,207334,"[18, 80]",2024-04-30,46.812,6.9,76,en,False
233,How I Met Your Father,How I Met Your Father,124010,"[35, 18]",2022-01-18,46.81,6.7,219,en,False
234,Stuck in the Middle,Stuck in the Middle,65291,"[35, 10751]",2016-02-14,46.734,7.7,114,en,False
235,금수저,The Golden Spoon,157383,"[18, 9648, 10765]",2022-09-23,46.54,6.7,33,ko,False
236,村井の恋,Murai in Love,204098,"[16, 35, 18]",2024-10-06,46.247,0.0,0,ja,False
237,Desde el mañana,From Tomorrow,249670,"[18, 9648]",2024-06-12,46.242,7.1,56,es,False
238,フクロウと呼ばれた男,House of the Owl,233954,[18],2024-04-24,46.161,6.8,6,ja,False
239,Goof Troop,Goof Troop,2235,"[35, 10762, 16]",1992-09-05,45.85,6.46,136,en,False
240,Darkwing Duck,Darkwing Duck,3319,"[10759, 16, 35, 10751, 10762]",1991-09-06,45.418,7.3,284,en,False
241,Science of Stupid,Science of Stupid,64905,"[99, 10764, 35]",2014-04-09,45.387,6.2,16,en,False
242,Handy Manny,Handy Manny,10219,"[16, 35, 10762, 10751]",2006-09-16,44.93,6.5,34,en,False
243,크레이지 러브,Crazy Love,134465,"[18, 35]",2022-03-07,44.917,7.6,50,ko,False
244,소방서 옆 경찰서,The First Responders,211261,[18],2022-11-12,44.82,8.0,31,ko,False
245,Star,Star,68780,[18],2016-12-14,43.752,8.0,133,en,False
246,너와 나의 경찰수업,Rookie Cops,126484,[18],2022-01-26,43.736,7.7,39,ko,False
247,Little Einsteins,Little Einsteins,3090,"[16, 10751, 10762]",2005-10-09,43.657,7.0,54,en,False
248,Elena of Avalor,Elena of Avalor,67175,"[16, 10762]",2016-07-22,43.537,6.742,66,en,False
249,Sonny with a Chance,Sonny with a Chance,33873,"[35, 10751]",2009-02-08,43.11,7.8,322,en,False
250,Star Wars: Young Jedi Adventures,Star Wars: Young Jedi Adventures,202998,"[16, 10762, 10759, 35]",2023-05-04,43.085,5.0,18,en,False
251,아다마스,Adamas,205040,"[9648, 18]",2022-07-27,42.766,6.7,43,ko,False
252,Brickleberry,Brickleberry,44169,"[35, 16]",2012-09-25,42.68,7.304,202,en,False
253,Muppet Babies,Muppet Babies,77410,"[16, 35, 10751, 10762]",2018-03-23,42.543,4.6,11,en,False
254,형사록,Shadow Detective,157161,"[18, 80, 9648]",2022-10-26,42.426,6.2,31,ko,False
255,"Love, Victor","Love, Victor",97186,"[35, 18]",2020-06-17,42.019,8.6,1553,en,False
256,La voz ausente,The Absent Voice,260877,"[18, 80]",2024-08-21,41.993,7.2,12,es,False
257,The Book of Boba Fett,The Book of Boba Fett,115036,"[10759, 10765]",2021-12-29,41.72,7.603,2542,en,False
258,Mighty Med,Mighty Med,57961,"[35, 10762]",2013-10-07,41.434,7.6,72,en,False
259,Mickey Mouse Funhouse,Mickey Mouse Funhouse,127633,"[10762, 16]",2021-08-20,41.231,7.4,8,en,False
260,POSE,POSE,79084,[18],2018-06-03,40.888,8.28,516,en,False
261,A.N.T. Farm,A.N.T. Farm,34573,"[35, 18, 10751]",2011-05-06,40.561,7.4,130,en,False
262,사랑이라 말해요,Call It Love,215471,[18],2023-02-22,39.909,8.389,36,ko,False
263,Spider-Man and His Amazing Friends,Spider-Man and His Amazing Friends,1269,"[10759, 16, 10751, 10765]",1981-09-12,39.814,7.445,236,en,False
264,카지노,Big Bet,112486,"[18, 10759, 80]",2022-12-21,39.786,5.5,29,ko,False
265,Extraordinary,Extraordinary,47907,"[35, 10759]",2023-01-25,39.685,7.3,131,en,False
266,Obi-Wan Kenobi,Obi-Wan Kenobi,92830,"[10765, 10759, 18]",2022-05-26,39.479,7.1,1765,en,False
267,異修羅,Ishura,220286,"[16, 10759, 10765]",2024-01-03,38.847,6.3,18,ja,False
268,Not Dead Yet,Not Dead Yet,203178,[35],2023-02-08,38.774,7.1,84,en,False
269,マーベル フューチャー・アベンジャーズ,Marvel's Future Avengers,91278,"[16, 10759, 10765]",2017-07-22,38.662,6.333,18,ja,False
270,"Doogie Kamealoha, M.D.","Doogie Kamealoha, M.D.",130372,"[18, 10751, 35]",2021-09-08,38.54,7.7,189,en,False
271,Better Things,Better Things,66859,"[35, 18]",2016-09-08,38.537,7.239,165,en,False
272,한강,Han River Police,211020,"[35, 10759]",2023-09-13,38.528,4.933,15,ko,False
273,Marvel's Hulk and the Agents of S.M.A.S.H.,Marvel's Hulk and the Agents of S.M.A.S.H.,40044,"[10759, 16, 10765]",2013-08-11,37.417,6.1,67,en,False
274,키스 식스 센스,Kiss Sixth Sense,135895,"[18, 10765]",2022-05-25,36.99,7.9,52,ko,False
275,The Artful Dodger,The Artful Dodger,202208,"[18, 80, 10759]",2023-11-29,36.959,8.011,131,en,False
276,Kiff,Kiff,127706,"[16, 35]",2023-03-10,36.955,7.5,11,en,False
277,The Muppet Show,The Muppet Show,4459,"[10762, 35, 10751]",1976-09-05,36.944,8.0,296,en,False
278,T.O.T.S.,T.O.T.S.,91433,"[10762, 10751, 16]",2019-06-14,36.124,6.3,10,en,False
279,닥터로이어,Doctor Lawyer,196906,"[80, 18]",2022-06-03,36.097,7.2,41,ko,False
280,비질란테,Vigilante,205082,"[80, 10759, 18]",2023-11-08,36.079,8.05,40,ko,False
281,화인가 스캔들,Red Swan,227189,[18],2024-07-03,35.939,7.3,19,ko,False
282,Single Parents,Single Parents,81127,[35],2018-09-26,35.748,7.1,55,en,False
