,original_title,title,id,genre_ids,release_date,popularity,vote_average,vote_count,original_language,adult
565,Bully. Coward. Victim. The Story of Roy Cohn,Bully. Coward. Victim. The Story of Roy Cohn,575236,[99],2019-09-29,3.14,6.4,19,en,False
566,Foster,Foster,523997,[99],2018-06-14,3.137,6.4,12,en,False
567,And Just Like That… The Documentary,And Just Like That… The Documentary,933255,[99],2022-02-03,3.129,7.1,16,en,False
568,Spring Awakening: Those You've Known,Spring Awakening: Those You've Known,959130,"[99, 10402]",2022-05-03,3.116,7.7,17,en,False
569,Icebox,Icebox,543772,[18],2018-09-09,3.106,7.1,26,es,False
570,Warning: This Drug May Kill You,Warning: This Drug May Kill You,452372,"[10770, 99]",2017-05-01,3.094,7.1,14,en,False
571,Rock and a Hard Place,Rock and a Hard Place,444526,[99],2017-03-27,3.094,6.2,22,en,False
572,Walkout,Walkout,93511,"[18, 10770]",2006-03-18,3.072,5.9,11,en,False
573,The Unbreakable Tatiana Suarez,The Unbreakable Tatiana Suarez,1232553,[99],2024-01-31,3.047,7.8,4,en,False
574,Daybreak,Daybreak,47945,"[28, 18, 10749, 878, 10770]",1993-05-08,3.038,5.2,28,en,False
575,Persona: The Dark Truth Behind Personality Tests,Persona: The Dark Truth Behind Personality Tests,800164,[99],2021-03-04,3.027,5.6,18,en,False
576,Arthur Miller: Writer,Arthur Miller: Writer,473399,[99],2017-12-08,2.964,7.3,16,en,False
577,The Vagina Monologues,The Vagina Monologues,36945,[35],2002-02-14,2.923,6.0,16,en,False
578,Generation Beziehungsunfähig,Commitment Phobia,835365,"[35, 10749]",2021-07-01,2.9,6.189,37,de,False
579,Alien Abduction: Travis Walton,Alien Abduction: Travis Walton,941387,[99],2022-02-18,2.89,6.4,4,en,False
580,Ghost Adventures,Ghost Adventures,29721,"[99, 27]",2007-07-25,2.883,8.1,45,en,False
581,Endangered,Endangered,897374,[99],2022-06-12,2.878,6.3,17,en,False
582,The Soul of America,The Soul of America,754334,[99],2020-10-22,2.814,5.4,5,en,False
583,Fellow Traveller,Fellow Traveller,248840,"[18, 53]",1989-09-29,2.807,3.5,2,en,False
584,Black Art: In the Absence of Light,Black Art: In the Absence of Light,794227,[99],2021-02-09,2.724,7.1,9,en,False
585,Fake Famous,Fake Famous,788610,[99],2021-02-02,2.721,7.3,37,en,False
586,Running with Beto,Running with Beto,575812,[99],2019-03-09,2.664,6.8,16,en,False
587,Love Crimes Of Kabul,Love Crimes Of Kabul,70834,[99],2011-07-11,2.654,4.7,3,en,False
588,Kill Chain: The Cyber War on America's Elections,Kill Chain: The Cyber War on America's Elections,685814,[99],2020-03-26,2.65,7.0,13,en,False
589,Les distàncies,The Distances,441583,[18],2018-09-07,2.638,5.4,37,ca,False
590,Uno para todos,One for All,651391,[18],2020-09-18,2.617,6.2,29,es,False
591,Oprah & The Color Purple Journey,Oprah & The Color Purple Journey,1218168,[99],2023-12-28,2.608,5.0,1,en,False
592,Faye,Faye,1280483,[99],2024-05-15,2.605,7.0,12,en,False
593,Mama's Boy,Mama's Boy,1024528,[99],2022-10-18,2.56,3.7,3,en,False
594,DMX: Don't Try to Understand,DMX: Don't Try to Understand,754848,"[99, 10402]",2021-11-13,2.555,6.8,8,en,False
595,They Called Him Mostly Harmless,They Called Him Mostly Harmless,1105868,"[99, 80, 9648]",2024-02-08,2.551,6.6,18,en,False
596,White Mile,White Mile,110570,"[18, 53, 10770]",1994-05-21,2.521,5.6,15,en,False
597,Stockton on My Mind,Stockton on My Mind,712393,[99],2020-06-18,2.436,0.0,0,en,False
598,The Day Sports Stood Still,The Day Sports Stood Still,804244,[99],2021-03-24,2.423,6.4,13,en,False
599,The Newspaperman: The Life and Times of Ben Bradlee,The Newspaperman: The Life and Times of Ben Bradlee,479119,"[10770, 99]",2017-12-04,2.418,8.3,7,en,False
600,The Fever,The Fever,64192,"[18, 10770]",2004-09-23,2.406,5.6,14,en,False
601,"There Is No ""I"" in Threesome","There Is No ""I"" in Threesome",790846,[99],2021-01-30,2.389,5.1,11,en,False
602,15 Minutes of Shame,15 Minutes of Shame,641363,[99],2021-10-07,2.369,6.3,15,en,False
603,In the Same Breath,In the Same Breath,776518,[99],2021-01-28,2.358,7.1,35,en,False
604,Héroes de barrio,Héroes de barrio,810214,"[35, 18]",2022-06-24,2.349,5.6,14,es,False
605,A Family Is a Family Is a Family: A Rosie O'Donnell Celebration,A Family Is a Family Is a Family: A Rosie O'Donnell Celebration,243665,[99],2010-01-31,2.334,4.4,5,en,False
606,1000% Me: Growing Up Mixed,1000% Me: Growing Up Mixed,1104004,[99],2023-04-22,2.224,3.0,3,en,False
607,"Introducing, Selma Blair","Introducing, Selma Blair",795613,[99],2021-10-15,2.187,7.1,10,en,False
608,Our Towns,Our Towns,812018,[99],2021-04-13,2.176,5.0,5,en,False
609,The Last Cruise,The Last Cruise,800394,[99],2021-03-16,2.121,6.7,23,en,False
610,Atomic Homefront,Atomic Homefront,479540,[99],2017-11-17,2.083,6.7,7,en,False
611,The Exorcism of Roland Doe,The Exorcism of Roland Doe,803381,[99],2021-02-05,2.06,5.6,7,en,False
612,Brillo Box (3¢ off),Brillo Box (3¢ off),419416,[99],2016-06-13,2.051,6.7,10,en,False
613,The Apollo,The Apollo,585527,[99],2019-04-24,2.002,6.3,16,en,False
614,Eyes on the Prize: Hallowed Ground,Eyes on the Prize: Hallowed Ground,852336,[99],2021-08-19,2.001,0.0,0,en,False
615,Hope,The One With Hope,1303181,[99],2024-06-11,1.989,7.5,1,pl,False
616,Prawy chłopak,Polish Prayers,1047567,[99],2022-11-14,1.988,6.3,7,pl,False
617,Meth Storm,Meth Storm,438473,[99],2017-03-11,1.949,6.3,11,en,False
618,We Met in Virtual Reality,We Met in Virtual Reality,913850,"[99, 16]",2022-03-27,1.932,6.0,11,en,False
619,Say Her Name: The Life and Death of Sandra Bland,Say Her Name: The Life and Death of Sandra Bland,511689,"[99, 10770]",2018-04-25,1.919,7.1,11,en,False
620,Life Support,Life Support,56555,"[18, 10770]",2007-03-10,1.912,5.8,13,en,False
621,Stolen Daughters: Kidnapped By Boko Haram,Stolen Daughters: Kidnapped By Boko Haram,543638,[99],2018-10-22,1.911,7.8,8,en,False
622,Agnelli,Agnelli,459954,[99],2017-12-18,1.904,7.5,21,en,False
623,The Number on Great-Grandpa's Arm,The Number on Great-Grandpa's Arm,497274,[99],2018-01-27,1.883,6.5,9,en,False
624,Simple As Water,Simple As Water,698499,[99],2021-06-20,1.844,5.8,5,en,False
625,Class Divide,Class Divide,381399,[99],2016-04-18,1.823,5.9,15,en,False
626,We Are the Dream: The Kids of the Oakland MLK Oratorical Fest,We Are the Dream: The Kids of the Oakland MLK Oratorical Fest,677639,[99],2020-02-18,1.767,7.0,2,en,False
627,Saudi Women's Driving School,Saudi Women's Driving School,642239,[99],2019-10-24,1.763,7.2,5,en,False
628,The Visitors,The Visitors,1099656,[99],2022-09-05,1.748,8.0,1,en,False
629,A döntés,Holy Dilemma,1054452,[99],2022-06-09,1.735,0.0,0,hu,False
630,We Are Not Done Yet,We Are Not Done Yet,543647,[99],2018-11-08,1.702,6.8,5,en,False
631,Icahn: The Restless Billionaire,Icahn: The Restless Billionaire,933249,[99],2022-02-15,1.663,6.8,4,en,False
632,Manhunt: The Inside Story of the Hunt for Bin Laden,Manhunt: The Inside Story of the Hunt for Bin Laden,159011,[99],2013-01-20,1.64,6.8,21,en,False
633,Thin,Thin,45051,[99],2006-10-21,1.632,7.0,20,en,False
